,title,release_year,vote_count,vote_average
220,Don Juan DeMarco,1994,184.0,6.3
221,Disclosure,1994,217.0,5.9
222,Dream Man,1995,1.0,2.5
223,Drop Zone,1994,91.0,5.1
224,Destiny Turns on the Radio,1995,9.0,5.3
225,Death and the Maiden,1994,92.0,7.1
226,Dolores Claiborne,1995,183.0,7.1
227,Dumb and Dumber,1994,1894.0,6.5
228,Eat Drink Man Woman,1994,76.0,7.5
229,Exotica,1994,64.0,6.5
230,Exit to Eden,1994,28.0,4.3
231,Ed Wood,1994,639.0,7.3
232,French Kiss,1995,179.0,6.2
233,Forget Paris,1995,38.0,6.1
234,Far from Home: The Adventures of Yellow Dog,1995,27.0,5.6
235,A Goofy Movie,1995,404.0,6.7
236,Hideaway,1995,24.0,5.0
237,Fluke,1995,48.0,6.6
238,Farinelli,1994,20.0,5.9
239,Gordy,1995,4.0,3.0
240,Gumby: The Movie,1995,2.0,5.0
241,The Glass Shield,1994,9.0,5.4
242,Hoop Dreams,1994,91.0,7.7
243,Heavenly Creatures,1994,299.0,6.9
244,Houseguest,1995,17.0,6.0
245,Immortal Beloved,1994,90.0,6.9
246,Heavyweights,1995,97.0,6.0
247,The Hunted,1995,25.0,6.0
248,I.Q.,1994,112.0,5.9
249,Interview with the Vampire,1994,1558.0,7.2
250,Jefferson in Paris,1995,10.0,5.2
251,The Jerky Boys,1995,10.0,4.8
252,Junior,1994,381.0,4.7
253,Just Cause,1995,124.0,6.0
254,A Kid in King Arthur's Court,1995,40.0,4.3
255,Kiss of Death,1995,83.0,5.7
256,Star Wars,1977,6778.0,8.1
257,Little Women,1994,222.0,7.0
258,A Little Princess,1995,207.0,7.4
259,Ladybird Ladybird,1994,14.0,7.4
260,L'Enfer,1994,22.0,6.6
261,Like Water for Chocolate,1992,70.0,6.6
262,Legends of the Fall,1994,636.0,7.2
263,Major Payne,1995,164.0,6.1
264,Little Odessa,1994,31.0,6.4
265,Mi Vida Loca,1994,9.0,5.7
266,Love Affair,1994,11.0,4.3
267,Losing Isaiah,1995,28.0,6.4
268,The Madness of King George,1994,67.0,6.7
269,Mary Shelley's Frankenstein,1994,272.0,6.1
270,Man of the House,1995,40.0,5.1
271,Mixed Nuts,1994,37.0,5.2
272,Milk Money,1994,49.0,5.6
273,Miracle on 34th Street,1994,199.0,6.4
274,Miami Rhapsody,1995,7.0,5.6
275,My Family,1995,11.0,7.0
276,Murder in the First,1995,140.0,6.9
277,Nobody's Fool,1994,56.0,7.0
278,Nell,1994,128.0,6.1
279,New Jersey Drive,1995,7.0,6.9
280,New York Cop,1993,0.0,0.0
281,Beyond Bedlam,1994,4.0,4.0
282,Nemesis 2 - Nebula,1995,10.0,4.6
283,Nina Takes a Lover,1995,4.0,7.4
284,Natural Born Killers,1994,927.0,6.9
285,Only You,1994,92.0,6.4
286,Once Were Warriors,1994,106.0,7.6
287,Poison Ivy II: Lily,1996,32.0,4.6
288,Outbreak,1995,522.0,6.4
289,Leon: The Professional,1994,4293.0,8.2
290,The Perez Family,1995,9.0,6.6
291,A Pyromaniac's Love Story,1995,2.0,7.0
292,Pulp Fiction,1994,8670.0,8.3
293,Panther,1995,6.0,6.4
294,Pushing Hands,1992,9.0,6.1
295,Priest,1994,32.0,6.4
296,Quiz Show,1994,262.0,7.1
297,Picture Bride,1995,5.0,7.4
298,Queen Margot,1994,67.0,7.0
299,The Quick and the Dead,1995,431.0,6.2
300,Roommates,1995,7.0,6.4
301,Prêt-à-Porter,1994,33.0,5.3
302,Three Colors: Red,1994,246.0,7.8
303,Three Colors: Blue,1993,311.0,7.7
304,Three Colors: White,1994,218.0,7.3
305,"Red Firecracker, Green Firecracker",1994,2.0,7.0
306,Rent-a-Kid,1995,15.0,5.1
307,Relative Fear,1995,3.0,4.7
308,Stuart Saves His Family,1995,6.0,5.0
309,The Swan Princess,1994,251.0,6.5
310,The Secret of Roan Inish,1994,15.0,6.1
311,The Specialist,1994,317.0,5.5
312,Stargate,1994,942.0,6.8
313,The Santa Clause,1994,501.0,6.3
314,The Shawshank Redemption,1994,8358.0,8.5
315,Shallow Grave,1994,247.0,7.0
316,Suture,1993,7.0,6.0
317,Strawberry and Chocolate,1993,16.0,7.1
318,Swimming with Sharks,1994,104.0,6.7
319,The Sum of Us,1994,21.0,6.0
320,Senior Trip,1995,23.0,5.7
321,To Live,1994,62.0,7.7
322,Tank Girl,1995,140.0,5.5
323,Tales from the Crypt: Demon Knight,1995,96.0,6.7
324,Star Trek: Generations,1994,461.0,6.4
325,Tales from the Hood,1995,33.0,5.4
326,Tom & Viv,1994,8.0,5.8
327,Village of the Damned,1995,165.0,5.6
328,Tommy Boy,1995,321.0,6.8
329,Vanya on 42nd Street,1994,15.0,6.1
330,The Underneath,1995,15.0,5.6
331,The Walking Dead,1995,4.0,6.6
332,What's Eating Gilbert Grape,1993,943.0,7.5
333,Virtuosity,1995,163.0,5.4
334,While You Were Sleeping,1995,340.0,6.5
335,The War,1994,39.0,6.3
336,Double Happiness,1994,2.0,5.5
337,Muriel's Wedding,1994,104.0,6.9
338,The Baby-Sitters Club,1995,23.0,5.3
339,Ace Ventura: Pet Detective,1994,1684.0,6.4
340,"The Adventures of Priscilla, Queen of the Desert",1994,174.0,7.2
341,Backbeat,1994,37.0,6.2
342,Bitter Moon,1992,115.0,7.0
343,Bullets Over Broadway,1994,130.0,7.0
344,Clear and Present Danger,1994,390.0,6.4
345,The Client,1994,287.0,6.4
346,"Corrina, Corrina",1994,83.0,6.4
347,Crooklyn,1994,31.0,6.7
348,The Crow,1994,980.0,7.3
349,Cobb,1994,29.0,6.1
350,The Flintstones,1994,559.0,5.0
351,Forrest Gump,1994,8147.0,8.2
352,Four Weddings and a Funeral,1994,654.0,6.6
353,Higher Learning,1995,49.0,6.4
354,I Like It Like That,1994,4.0,6.3
355,I Love Trouble,1994,41.0,5.3
356,It Could Happen to You,1994,154.0,6.1
357,The Jungle Book,1994,107.0,5.9
358,"The Wonderful, Horrible Life of Leni Riefenstahl",1993,5.0,7.3
359,The Lion King,1994,5520.0,8.0
360,Little Buddha,1993,76.0,6.0
361,New Nightmare,1994,297.0,6.4
362,The Mask,1994,2550.0,6.6
363,Maverick,1994,490.0,6.6
364,Mrs. Parker and the Vicious Circle,1994,20.0,6.3
365,The Naked Gun 33⅓: The Final Insult,1994,535.0,6.4
366,The Paper,1994,40.0,6.1
367,Reality Bites,1994,180.0,6.5
368,Red Rock West,1993,71.0,6.4
369,Ri¢hie Ri¢h,1994,426.0,5.4
370,Safe Passage,1994,7.0,4.9
371,The River Wild,1994,214.0,6.1
372,Speed,1994,1814.0,6.8
373,Speechless,1994,24.0,5.5
374,Timecop,1994,288.0,5.5
375,True Lies,1994,1138.0,6.8
376,When a Man Loves a Woman,1994,71.0,6.0
377,Wolf,1994,221.0,6.0
378,Wyatt Earp,1994,203.0,6.5
379,Bad Company,1995,12.0,4.9
380,A Man of No Importance,1994,2.0,6.5
381,S.F.W.,1994,22.0,6.1
382,A Low Down Dirty Shame,1994,31.0,6.0
383,"Boys Life: Three Stories of Love, Lust, and Liberation",1994,1.0,2.0
384,Colonel Chabert,1994,9.0,5.9
385,"Faster, Pussycat! Kill! Kill!",1965,59.0,6.5
386,Jason's Lyric,1994,9.0,5.9
387,The Secret Adventures of Tom Thumb,1993,8.0,7.1
388,Street Fighter,1994,330.0,4.1
389,Coldblooded,1995,13.0,6.7
390,Desert Winds,1997,0.0,0.0
391,Fall Time,1995,6.0,6.3
392,The Fear,1995,7.0,3.4
393,Frank and Ollie,1995,4.0,7.5
394,Girl in the Cadillac,1995,1.0,10.0
395,Homage,1995,0.0,0.0
396,Mirage,1995,1.0,4.0
397,Open Season,1996,0.0,0.0
398,Dos Crímenes,1995,1.0,5.0
399,Brother Minister: The Assassination of Malcolm X,1995,1.0,4.0
400,Highlander: The Final Dimension,1994,110.0,4.5
401,Federal Hill,1995,2.0,5.0
402,In the Mouth of Madness,1994,307.0,7.1
403,8 Seconds,1994,22.0,7.2
404,Above the Rim,1994,40.0,6.7
405,Addams Family Values,1993,537.0,6.5
406,Martin Lawrence: You So Crazy,1994,4.0,4.5
407,The Age of Innocence,1993,172.0,7.0
408,Airheads,1994,222.0,5.8
409,The Air Up There,1994,42.0,5.1
410,Another Stakeout,1993,58.0,4.9
411,Bad Girls,1994,61.0,4.6
412,Barcelona,1994,20.0,6.6
413,Being Human,1994,15.0,5.0
414,The Beverly Hillbillies,1993,86.0,5.0
415,Beverly Hills Cop III,1994,445.0,5.5
416,Black Beauty,1994,68.0,6.6
417,Blink,1994,45.0,6.3
418,Blown Away,1994,126.0,6.0
419,Blue Chips,1994,41.0,5.7
420,Blue Sky,1994,28.0,6.1
421,Body Snatchers,1993,102.0,5.8
422,Boxing Helena,1993,59.0,4.5
423,A Bronx Tale,1993,447.0,7.4
424,Cabin Boy,1994,28.0,4.9
425,Calendar Girl,1993,10.0,3.7
426,Carlito's Way,1993,805.0,7.7
427,City Slickers II: The Legend of Curly's Gold,1994,103.0,4.9
428,Clean Slate,1994,25.0,5.7
429,Cliffhanger,1993,600.0,6.1
430,Coneheads,1993,228.0,4.8
431,Color of Night,1994,117.0,5.4
432,Cops & Robbersons,1994,36.0,5.0
433,The Cowboy Way,1994,38.0,5.1
434,Dangerous Game,1993,9.0,5.4
435,Dave,1993,205.0,6.3
436,Dazed and Confused,1993,588.0,7.4
437,Demolition Man,1993,1018.0,6.4
438,The Endless Summer 2,1994,12.0,7.1
439,Even Cowgirls Get the Blues,1994,29.0,4.2
440,Fatal Instinct,1993,37.0,5.4
441,Farewell My Concubine,1993,98.0,7.8
442,The Favor,1994,6.0,3.3
443,Fearless,1993,80.0,6.8
444,Fear of a Black Hat,1994,11.0,5.8
445,With Honors,1994,54.0,6.1
446,Flesh and Bone,1993,22.0,6.2
447,Widows' Peak,1994,3.0,4.3
448,For Love or Money,1993,77.0,5.7
449,The Firm,1993,513.0,6.6
450,Free Willy,1993,429.0,6.0
451,Fresh,1994,56.0,7.6
452,The Fugitive,1993,1240.0,7.2
453,Geronimo: An American Legend,1993,44.0,5.9
454,The Getaway,1994,81.0,5.4
455,Getting Even with Dad,1994,43.0,4.5
456,Go Fish,1994,5.0,3.9
457,A Good Man in Africa,1994,11.0,5.2
458,Guilty as Sin,1993,21.0,5.6
459,Hard Target,1993,237.0,6.1
460,Heaven & Earth,1993,51.0,6.4
461,Hot Shots! Part Deux,1993,463.0,6.2
462,Live Nude Girls,1995,12.0,4.7
463,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,83.0,6.1
464,The House of the Spirits,1993,135.0,6.7
465,House Party 3,1994,11.0,4.6
466,The Hudsucker Proxy,1994,280.0,7.1
467,I'll Do Anything,1994,18.0,5.7
468,In the Army Now,1994,54.0,4.7
469,In the Line of Fire,1993,392.0,6.8
470,In the Name of the Father,1993,363.0,7.6
471,The Inkwell,1994,5.0,3.9
472,What's Love Got to Do with It,1993,75.0,6.9
473,Jimmy Hollywood,1994,17.0,4.6
474,Judgment Night,1993,79.0,6.4
475,Jurassic Park,1993,4956.0,7.6
476,Kalifornia,1993,209.0,6.5
477,Killing Zoe,1993,111.0,6.1
478,King of the Hill,1993,33.0,6.4
479,Lassie,1994,54.0,6.1
480,Last Action Hero,1993,725.0,6.1
481,Life With Mikey,1993,24.0,5.1
482,Lightning Jack,1994,40.0,5.7
483,M. Butterfly,1993,35.0,6.6
484,Made in America,1993,86.0,5.3
485,Malice,1993,105.0,5.9
486,The Man without a Face,1993,125.0,6.2
487,Manhattan Murder Mystery,1993,169.0,7.1
488,Menace II Society,1993,179.0,7.2
489,Executive Decision,1996,261.0,5.8
490,In the Realm of the Senses,1976,112.0,6.5
491,What Happened Was...,1994,7.0,7.0
492,Much Ado About Nothing,1993,194.0,7.2
493,Mr. Jones,1993,35.0,5.9
494,Mr. Wonderful,1993,11.0,5.5
495,Mrs. Doubtfire,1993,1638.0,7.0
496,Naked,1993,105.0,7.5
497,The Next Karate Kid,1994,202.0,4.8
498,The New Age,1994,5.0,4.8
499,No Escape,1994,86.0,6.1
500,North,1994,67.0,4.8
501,Orlando,1992,53.0,6.7
502,A Perfect World,1993,376.0,7.2
503,Philadelphia,1993,1019.0,7.6
504,The Piano,1993,290.0,7.1
505,Poetic Justice,1993,47.0,6.9
506,The Program,1993,28.0,6.0
507,The Puppet Masters,1994,41.0,5.6
508,Radioland Murders,1994,12.0,5.8
509,The Ref,1994,99.0,6.7
510,The Remains of the Day,1993,213.0,7.5
511,Renaissance Man,1994,83.0,5.9
512,Rising Sun,1993,188.0,5.8
513,The Road to Wellville,1994,43.0,5.5
514,RoboCop 3,1993,309.0,4.2
515,Robin Hood: Men in Tights,1993,575.0,6.4
516,Romeo Is Bleeding,1993,36.0,5.7
517,Romper Stomper,1992,126.0,6.6
518,Ruby in Paradise,1993,10.0,5.6
519,Rudy,1993,187.0,7.2
520,The Saint of Fort Washington,1993,5.0,4.0
521,Savage Nights,1992,11.0,6.2
522,Schindler's List,1993,4436.0,8.3
523,The Scout,1994,37.0,5.3
524,Searching for Bobby Fischer,1993,100.0,7.3
525,Second Best,1994,8.0,5.9
526,The Secret Garden,1993,232.0,7.1
527,Serial Mom,1994,137.0,6.4
528,The Shadow,1994,140.0,5.4
529,Shadowlands,1993,61.0,6.8
530,Short Cuts,1993,136.0,6.9
531,A Simple Twist of Fate,1994,26.0,5.7
532,Sirens,1993,31.0,5.2
533,Six Degrees of Separation,1993,75.0,6.5
534,Sleepless in Seattle,1993,630.0,6.5
535,Sliver,1993,144.0,4.9
536,Blade Runner,1982,3833.0,7.9
537,Son in Law,1993,81.0,5.6
538,So I Married an Axe Murderer,1993,131.0,6.1
539,Striking Distance,1993,223.0,5.4
540,Harem,1985,4.0,4.0
541,Super Mario Bros.,1993,236.0,4.0
542,Surviving the Game,1994,53.0,6.1
543,Terminal Velocity,1994,82.0,5.0
544,Thirty Two Short Films About Glenn Gould,1993,9.0,7.4
545,Threesome,1994,57.0,6.3
546,The Nightmare Before Christmas,1993,2135.0,7.6
547,The Three Musketeers,1993,219.0,6.2
548,Tombstone,1993,632.0,7.4
549,Trial by Jury,1994,5.0,5.5
550,True Romance,1993,762.0,7.5
551,The War Room,1993,19.0,7.3
552,The Pagemaster,1994,178.0,6.2
553,"Paris, France",1994,2.0,6.0
554,"The Beans of Egypt, Maine",1994,1.0,0.0
555,Killer,1994,2.0,3.0
556,Welcome to the Dollhouse,1995,103.0,6.9
557,Germinal,1993,43.0,6.3
558,Chasers,1994,22.0,4.7
559,Cronos,1993,153.0,6.4
560,Naked in New York,1993,3.0,4.0
561,Kika,1993,58.0,6.8
562,Bhaji on the Beach,1994,10.0,5.1
563,Little Big League,1994,20.0,6.0
564,The Slingshot,1993,10.0,6.2
565,Wide Eyed and Legless,1993,0.0,0.0
566,Foreign Student,1994,0.0,0.0
567,"Ciao, Professore!",1992,74.0,7.2
568,Spanking the Monkey,1994,29.0,5.3
569,The Little Rascals,1994,214.0,6.3
570,À la mode,1993,0.0,0.0
571,Andre,1994,31.0,5.0
572,The Escort,1993,5.0,5.0
573,Princess Caraboo,1994,5.0,4.4
574,The Celluloid Closet,1996,24.0,7.0
575,Café au Lait,1993,4.0,6.8
576,Dear Diary,1993,46.0,6.9
577,I Don't Want to Talk About It,1993,1.0,6.0
578,The Brady Bunch Movie,1995,87.0,5.9
579,Home Alone,1990,2487.0,7.1
580,Ghost,1990,1381.0,6.9
581,Aladdin,1992,3495.0,7.4
582,Terminator 2: Judgment Day,1991,4274.0,7.7
583,Dances with Wolves,1990,1084.0,7.6
584,Tough and Deadly,1995,4.0,6.3
585,Batman,1989,2145.0,7.0
586,The Silence of the Lambs,1991,4549.0,8.1
587,Snow White and the Seven Dwarfs,1937,1973.0,6.9
588,Beauty and the Beast,1991,3029.0,7.5
589,Pinocchio,1940,1412.0,6.9
590,Pretty Woman,1990,1807.0,7.0
591,Window to Paris,1993,6.0,6.0
592,The Wild Bunch,1969,266.0,7.7
593,Love and a .45,1994,15.0,5.5
594,The Wooden Man's Bride,1994,1.0,6.5
595,A Great Day in Harlem,1994,2.0,7.0
596,Bye Bye Love,1995,20.0,6.1
597,One Fine Day,1996,160.0,6.1
598,Candyman: Farewell to the Flesh,1995,64.0,5.0
599,Century,1993,1.0,5.0
600,Fargo,1996,2080.0,7.7
601,Homeward Bound II: Lost in San Francisco,1996,105.0,6.0
602,Heavy Metal,1981,150.0,6.3
603,Hellraiser: Bloodline,1996,111.0,4.9
604,The Pallbearer,1996,30.0,4.6
605,Jane Eyre,1996,51.0,7.1
606,Loaded,1996,3.0,4.0
607,Bread and Chocolate,1974,10.0,7.1
608,The Aristocats,1970,1287.0,7.1
609,The Flower of My Secret,1995,43.0,6.9
610,Two Much,1996,24.0,5.1
611,Ed,1996,24.0,3.6
612,Scream of Stone,1991,4.0,7.5
613,My Favorite Season,1993,4.0,6.4
614,A Modern Affair,1996,1.0,5.0
615,Condition Red,1995,3.0,4.7
616,Halfaouine: Boy of the Terraces,1990,5.0,7.4
617,A Thin Line Between Love and Hate,1996,15.0,5.7
618,The Last Supper,1995,82.0,6.5
619,Primal Fear,1996,644.0,7.4
620,Rude,1995,1.0,6.0
621,Carried Away,1996,5.0,5.4
622,All Dogs Go to Heaven 2,1996,50.0,5.0
623,Land and Freedom,1995,53.0,7.0
624,Denise Calls Up,1995,5.0,6.6
625,Theodore Rex,1995,17.0,3.6
626,A Family Thing,1996,14.0,5.6
627,Frisk,1996,3.0,3.0
628,Sgt. Bilko,1996,96.0,5.5
629,Jack & Sarah,1995,10.0,5.1
630,Girl 6,1996,17.0,5.7
631,Diabolique,1996,74.0,5.4
632,"Little Indian, Big City",1994,145.0,6.0
633,Roula,1995,1.0,5.0
634,Peanuts – Die Bank zahlt alles,1996,1.0,4.0
635,Happy Weekend,1996,0.0,0.0
636,Nelly and Monsieur Arnaud,1996,16.0,7.1
637,Courage Under Fire,1996,240.0,6.2
638,Mission: Impossible,1996,2677.0,6.7
639,Cold Fever,1995,6.0,7.7
640,Moll Flanders,1996,19.0,6.2
641,The Superwife,1996,7.0,5.3
642,"301, 302",1995,10.0,6.2
643,DragonHeart,1996,553.0,6.4
644,Und keiner weint mir nach,1996,0.0,0.0
645,My Mother's Courage,1995,0.0,0.0
646,Eddie,1996,46.0,5.4
647,Yankee Zulu,1993,4.0,6.0
