,title,release_date
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12
63,Two If by Sea,1996-01-12
64,Bio-Dome,1996-01-12
65,Lawnmower Man 2: Beyond Cyberspace,1996-01-12
66,Two Bits,1995-10-22
67,French Twist,1995-02-08
68,Friday,1995-04-26
69,From Dusk Till Dawn,1996-01-19
70,Fair Game,1995-11-03
71,Kicking and Screaming,1995-10-06
72,Les Miserables,1995-03-22
73,Bed of Roses,1996-01-26
74,Big Bully,1996-01-26
75,Screamers,1995-09-08
76,Nico Icon,1995-02-18
77,The Crossing Guard,1995-11-15
78,The Juror,1996-02-02
79,The White Balloon,1995-01-01
80,Things to Do in Denver When You're Dead,1995-12-01
81,Antonia's Line,1995-09-12
82,Once Upon a Time... When We Were Colored,1996-01-26
83,Last Summer in the Hamptons,1995-11-22
84,Angels and Insects,1995-09-10
85,White Squall,1996-02-02
86,Dunston Checks In,1996-01-12
87,Black Sheep,1996-02-01
88,Nick of Time,1995-11-22
89,The Journey of August King,1995-09-14
90,Mary Reilly,1996-02-23
91,Vampire in Brooklyn,1995-10-26
92,Beautiful Girls,1996-02-09
93,Broken Arrow,1996-02-09
94,A Midwinter's Tale,1995-12-01
95,La Haine,1995-05-31
96,Shopping,1994-12-06
97,Heidi Fleiss: Hollywood Madam,1995-12-27
98,City Hall,1996-02-16
99,Bottle Rocket,1996-02-21
100,Mr. Wrong,1996-02-16
101,Unforgettable,1996-02-23
102,Happy Gilmore,1996-02-16
103,The Bridges of Madison County,1995-05-28
104,Nobody Loves Me,1994-11-07
105,Muppet Treasure Island,1996-02-16
106,Catwalk,1995-12-08
107,Headless Body in Topless Bar,1995-05-20
108,Braveheart,1995-05-24
109,Taxi Driver,1976-02-07
110,Rumble in the Bronx,1995-01-30
111,Before and After,1996-02-23
112,Margaret's Museum,1995-09-13
113,Happiness Is in the Field,1995-01-31
114,Anne Frank Remembered,1995-06-08
115,The Young Poisoner's Handbook,1995-01-20
116,If Lucy Fell,1996-03-08
117,Steal Big Steal Little,1995-09-29
118,Race the Sun,1996-03-22
119,The Boys of St. Vincent,1992-12-06
120,Boomerang,1992-06-30
121,Chungking Express,1994-07-14
122,The Star Maker,1995-09-21
123,Flirting with Disaster,1996-03-22
124,The Neverending Story III: Escape from Fantasia,1994-10-26
125,The Silences of the Palace,1994-09-30
126,Jupiter's Wife,1995-01-01
127,Pie in the Sky,1996-02-09
128,Angela,1995-01-01
129,Frankie Starlight,1995-11-22
130,Jade,1995-10-13
131,Nueba Yol,1995-08-16
132,Sonic Outlaws,1995-08-01
133,Down Periscope,1996-03-01
134,From the Journals of Jean Seberg,1995-09-08
135,Man of the Year,1995-09-15
136,The Neon Bible,1995-08-23
137,Target,1995-08-01
138,Up Close & Personal,1996-03-01
139,The Birdcage,1996-03-08
140,Virgin Mary,1995-10-12
141,The Brothers McMullen,1995-08-09
142,Bad Boys,1995-04-07
143,The Amazing Panda Adventure,1995-08-25
144,The Basketball Diaries,1995-04-21
145,An Awfully Big Adventure,1995-07-21
146,Amateur,1994-08-05
147,Apollo 13,1995-06-30
148,Rob Roy,1995-04-13
149,The Addiction,1995-01-10
150,Batman Forever,1995-06-16
151,Belle de Jour,1967-05-24
152,Beyond Rangoon,1995-05-24
153,Blue in the Face,1995-09-15
154,Canadian Bacon,1995-06-08
155,Casper,1995-05-26
156,Clockers,1995-09-15
157,Congo,1995-06-09
158,Crimson Tide,1995-05-12
159,Crumb,1994-09-10
160,Desperado,1995-08-25
161,Devil in a Blue Dress,1995-09-15
162,Die Hard: With a Vengeance,1995-05-19
163,The Doom Generation,1995-10-27
164,Feast of July,1995-10-12
165,First Knight,1995-07-07
166,Free Willy 2 - The Adventure Home,1995-07-19
167,Hackers,1995-09-14
168,Jeffrey,1995-08-18
169,Johnny Mnemonic,1995-05-26
170,Judge Dredd,1995-06-30
171,Jury Duty,1995-04-12
172,Kids,1995-07-28
173,Living in Oblivion,1995-01-20
174,Lord of Illusions,1995-08-25
175,Love & Human Remains,1993-05-20
176,Mad Love,1995-05-26
177,Mallrats,1995-10-20
178,Mighty Morphin Power Rangers: The Movie,1995-06-30
179,Moonlight and Valentino,1995-09-29
180,Mute Witness,1995-09-28
181,Nadja,1994-09-13
182,The Net,1995-07-28
183,Nine Months,1995-07-12
184,Party Girl,1995-06-09
185,The Prophecy,1995-09-01
186,Reckless,1995-11-17
187,Safe,1995-06-23
188,The Scarlet Letter,1995-10-13
189,The Show,1995-08-25
190,Showgirls,1995-09-22
191,Smoke,1995-06-09
192,Something to Talk About,1995-08-04
193,Species,1995-07-07
194,The Stars Fell on Henrietta,1995-09-15
195,Strange Days,1995-10-13
196,The Umbrellas of Cherbourg,1964-02-19
197,The Tie That Binds,1995-09-08
198,Three Wishes,1995-10-27
199,Total Eclipse,1995-11-02
200,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07
201,Under Siege 2: Dark Territory,1995-07-13
202,Unstrung Heroes,1995-09-15
203,Unzipped,1995-08-11
204,A Walk in the Clouds,1995-08-11
205,Waterworld,1995-07-28
206,White Man's Burden,1995-12-01
207,Wild Bill,1995-12-01
208,The Browning Version,1994-10-12
209,Bushwhacked,1995-08-04
210,Burnt by the Sun,1994-05-01
211,Before the Rain,1994-06-09
212,Before Sunrise,1995-01-27
213,Billy Madison,1995-02-10
214,The Babysitter,1995-10-17
215,Boys on the Side,1995-02-03
216,The Cure,1995-04-21
217,Castle Freak,1995-08-04
218,Circle of Friends,1995-03-16
219,Clerks,1994-09-13
220,Don Juan DeMarco,1994-10-01
221,Disclosure,1994-12-09
222,Dream Man,1995-01-01
223,Drop Zone,1994-12-08
224,Destiny Turns on the Radio,1995-04-28
225,Death and the Maiden,1994-05-04
226,Dolores Claiborne,1995-03-24
227,Dumb and Dumber,1994-12-16
228,Eat Drink Man Woman,1994-08-03
229,Exotica,1994-09-24
230,Exit to Eden,1994-10-14
231,Ed Wood,1994-09-27
232,French Kiss,1995-05-05
233,Forget Paris,1995-05-19
234,Far from Home: The Adventures of Yellow Dog,1995-01-13
235,A Goofy Movie,1995-04-07
236,Hideaway,1995-03-03
237,Fluke,1995-06-02
238,Farinelli,1994-12-07
239,Gordy,1995-05-12
240,Gumby: The Movie,1995-12-01
241,The Glass Shield,1994-09-16
242,Hoop Dreams,1994-09-12
243,Heavenly Creatures,1994-09-02
244,Houseguest,1995-01-06
245,Immortal Beloved,1994-12-16
246,Heavyweights,1995-02-17
247,The Hunted,1995-02-24
248,I.Q.,1994-12-24
249,Interview with the Vampire,1994-11-11
250,Jefferson in Paris,1995-03-31
251,The Jerky Boys,1995-02-03
252,Junior,1994-11-22
253,Just Cause,1995-02-17
254,A Kid in King Arthur's Court,1995-08-11
255,Kiss of Death,1995-04-21
256,Star Wars,1977-05-25
257,Little Women,1994-12-21
258,A Little Princess,1995-05-10
259,Ladybird Ladybird,1994-02-18
260,L'Enfer,1994-02-16
261,Like Water for Chocolate,1992-04-16
262,Legends of the Fall,1994-12-16
263,Major Payne,1995-03-24
264,Little Odessa,1994-10-27
265,Mi Vida Loca,1994-06-08
266,Love Affair,1994-10-21
267,Losing Isaiah,1995-03-17
268,The Madness of King George,1994-12-28
269,Mary Shelley's Frankenstein,1994-11-04
270,Man of the House,1995-03-03
271,Mixed Nuts,1994-12-21
272,Milk Money,1994-08-31
273,Miracle on 34th Street,1994-11-18
274,Miami Rhapsody,1995-01-27
275,My Family,1995-05-03
276,Murder in the First,1995-01-20
277,Nobody's Fool,1994-12-23
278,Nell,1994-12-23
279,New Jersey Drive,1995-04-19
280,New York Cop,1993-08-14
281,Beyond Bedlam,1994-04-22
282,Nemesis 2 - Nebula,1995-09-26
283,Nina Takes a Lover,1995-03-03
284,Natural Born Killers,1994-08-25
285,Only You,1994-09-17
286,Once Were Warriors,1994-09-02
287,Poison Ivy II: Lily,1996-01-16
288,Outbreak,1995-03-10
289,Leon: The Professional,1994-09-14
290,The Perez Family,1995-05-12
291,A Pyromaniac's Love Story,1995-04-28
292,Pulp Fiction,1994-09-10
293,Panther,1995-11-10
294,Pushing Hands,1992-02-01
295,Priest,1994-01-01
296,Quiz Show,1994-09-16
297,Picture Bride,1995-05-05
298,Queen Margot,1994-05-13
299,The Quick and the Dead,1995-02-09
300,Roommates,1995-03-01
301,Prêt-à-Porter,1994-12-23
302,Three Colors: Red,1994-05-27
303,Three Colors: Blue,1993-01-10
304,Three Colors: White,1994-01-26
305,"Red Firecracker, Green Firecracker",1994-10-14
306,Rent-a-Kid,1995-01-01
307,Relative Fear,1995-10-03
308,Stuart Saves His Family,1995-04-12
309,The Swan Princess,1994-11-18
310,The Secret of Roan Inish,1994-01-01
311,The Specialist,1994-10-07
312,Stargate,1994-10-27
313,The Santa Clause,1994-11-10
314,The Shawshank Redemption,1994-09-23
315,Shallow Grave,1994-12-22
316,Suture,1993-09-14
317,Strawberry and Chocolate,1993-01-01
318,Swimming with Sharks,1994-09-10
319,The Sum of Us,1994-07-12
320,Senior Trip,1995-09-08
321,To Live,1994-06-30
322,Tank Girl,1995-03-31
323,Tales from the Crypt: Demon Knight,1995-01-13
324,Star Trek: Generations,1994-11-17
325,Tales from the Hood,1995-05-24
326,Tom & Viv,1994-04-15
327,Village of the Damned,1995-04-28
328,Tommy Boy,1995-03-31
329,Vanya on 42nd Street,1994-09-13
330,The Underneath,1995-04-28
331,The Walking Dead,1995-02-24
332,What's Eating Gilbert Grape,1993-12-17
333,Virtuosity,1995-08-04
334,While You Were Sleeping,1995-04-21
335,The War,1994-11-04
336,Double Happiness,1994-09-07
337,Muriel's Wedding,1994-09-29
338,The Baby-Sitters Club,1995-08-18
339,Ace Ventura: Pet Detective,1994-02-04
340,"The Adventures of Priscilla, Queen of the Desert",1994-05-31
341,Backbeat,1994-04-01
342,Bitter Moon,1992-09-02
343,Bullets Over Broadway,1994-10-14
344,Clear and Present Danger,1994-08-03
345,The Client,1994-07-20
346,"Corrina, Corrina",1994-08-12
347,Crooklyn,1994-05-13
348,The Crow,1994-05-11
349,Cobb,1994-12-02
350,The Flintstones,1994-05-26
351,Forrest Gump,1994-07-06
352,Four Weddings and a Funeral,1994-03-09
353,Higher Learning,1995-01-11
354,I Like It Like That,1994-10-14
355,I Love Trouble,1994-06-29
356,It Could Happen to You,1994-07-29
357,The Jungle Book,1994-12-23
358,"The Wonderful, Horrible Life of Leni Riefenstahl",1993-09-11
359,The Lion King,1994-06-23
360,Little Buddha,1993-12-01
361,New Nightmare,1994-10-13
362,The Mask,1994-07-29
363,Maverick,1994-05-20
364,Mrs. Parker and the Vicious Circle,1994-09-07
365,The Naked Gun 33⅓: The Final Insult,1994-03-18
366,The Paper,1994-03-18
367,Reality Bites,1994-02-18
368,Red Rock West,1993-07-08
369,Ri¢hie Ri¢h,1994-12-19
370,Safe Passage,1994-12-01
371,The River Wild,1994-09-30
372,Speed,1994-06-09
373,Speechless,1994-12-16
374,Timecop,1994-09-15
375,True Lies,1994-07-14
376,When a Man Loves a Woman,1994-04-29
377,Wolf,1994-06-17
378,Wyatt Earp,1994-06-24
379,Bad Company,1995-01-20
380,A Man of No Importance,1994-12-22
381,S.F.W.,1994-09-15
382,A Low Down Dirty Shame,1994-11-23
383,"Boys Life: Three Stories of Love, Lust, and Liberation",1994-09-30
384,Colonel Chabert,1994-01-01
385,"Faster, Pussycat! Kill! Kill!",1965-08-06
386,Jason's Lyric,1994-09-28
387,The Secret Adventures of Tom Thumb,1993-12-10
388,Street Fighter,1994-12-22
389,Coldblooded,1995-09-15
390,Desert Winds,1997-12-31
391,Fall Time,1995-05-13
392,The Fear,1995-01-20
393,Frank and Ollie,1995-10-20
394,Girl in the Cadillac,1995-10-24
395,Homage,1995-05-03
396,Mirage,1995-11-21
397,Open Season,1996-05-03
398,Dos Crímenes,1995-05-26
399,Brother Minister: The Assassination of Malcolm X,1995-03-01
400,Highlander: The Final Dimension,1994-11-29
401,Federal Hill,1995-02-24
402,In the Mouth of Madness,1994-12-12
403,8 Seconds,1994-02-25
404,Above the Rim,1994-03-23
405,Addams Family Values,1993-11-19
406,Martin Lawrence: You So Crazy,1994-04-27
407,The Age of Innocence,1993-09-17
408,Airheads,1994-08-05
409,The Air Up There,1994-01-07
410,Another Stakeout,1993-07-22
411,Bad Girls,1994-04-22
412,Barcelona,1994-07-29
413,Being Human,1994-05-06
414,The Beverly Hillbillies,1993-10-15
415,Beverly Hills Cop III,1994-05-24
416,Black Beauty,1994-07-29
417,Blink,1994-01-26
418,Blown Away,1994-07-01
419,Blue Chips,1994-02-18
420,Blue Sky,1994-09-16
421,Body Snatchers,1993-06-09
422,Boxing Helena,1993-06-18
423,A Bronx Tale,1993-09-14
424,Cabin Boy,1994-01-07
425,Calendar Girl,1993-09-03
426,Carlito's Way,1993-11-10
427,City Slickers II: The Legend of Curly's Gold,1994-06-10
428,Clean Slate,1994-05-06
429,Cliffhanger,1993-05-28
430,Coneheads,1993-07-23
431,Color of Night,1994-08-19
432,Cops & Robbersons,1994-04-15
433,The Cowboy Way,1994-06-03
434,Dangerous Game,1993-11-19
435,Dave,1993-05-07
436,Dazed and Confused,1993-09-24
437,Demolition Man,1993-10-08
438,The Endless Summer 2,1994-06-03
439,Even Cowgirls Get the Blues,1994-05-13
440,Fatal Instinct,1993-10-29
441,Farewell My Concubine,1993-09-16
442,The Favor,1994-04-29
443,Fearless,1993-10-15
444,Fear of a Black Hat,1994-10-28
445,With Honors,1994-04-29
446,Flesh and Bone,1993-11-05
447,Widows' Peak,1994-05-13
448,For Love or Money,1993-10-01
449,The Firm,1993-06-30
450,Free Willy,1993-07-16
451,Fresh,1994-08-24
452,The Fugitive,1993-08-06
453,Geronimo: An American Legend,1993-12-10
454,The Getaway,1994-02-11
455,Getting Even with Dad,1994-06-17
456,Go Fish,1994-06-10
457,A Good Man in Africa,1994-07-14
458,Guilty as Sin,1993-06-04
459,Hard Target,1993-08-20
460,Heaven & Earth,1993-12-24
461,Hot Shots! Part Deux,1993-05-21
462,Live Nude Girls,1995-12-08
463,The Englishman Who Went Up a Hill But Came Down a Mountain,1995-05-12
464,The House of the Spirits,1993-10-19
465,House Party 3,1994-01-01
466,The Hudsucker Proxy,1994-03-11
467,I'll Do Anything,1994-02-04
468,In the Army Now,1994-08-12
469,In the Line of Fire,1993-07-08
470,In the Name of the Father,1993-12-12
471,The Inkwell,1994-04-22
472,What's Love Got to Do with It,1993-06-09
473,Jimmy Hollywood,1994-03-30
474,Judgment Night,1993-10-15
475,Jurassic Park,1993-06-11
476,Kalifornia,1993-09-01
477,Killing Zoe,1993-10-01
478,King of the Hill,1993-08-20
479,Lassie,1994-07-22
480,Last Action Hero,1993-06-18
481,Life With Mikey,1993-06-04
482,Lightning Jack,1994-03-11
483,M. Butterfly,1993-09-09
484,Made in America,1993-05-27
485,Malice,1993-09-29
486,The Man without a Face,1993-08-25
487,Manhattan Murder Mystery,1993-08-18
488,Menace II Society,1993-05-26
489,Executive Decision,1996-03-15
490,In the Realm of the Senses,1976-05-15
491,What Happened Was...,1994-09-09
492,Much Ado About Nothing,1993-05-07
493,Mr. Jones,1993-10-08
494,Mr. Wonderful,1993-10-15
495,Mrs. Doubtfire,1993-11-24
496,Naked,1993-09-14
497,The Next Karate Kid,1994-07-18
498,The New Age,1994-09-16
499,No Escape,1994-04-29
500,North,1994-07-22
501,Orlando,1992-09-01
502,A Perfect World,1993-11-24
503,Philadelphia,1993-12-22
504,The Piano,1993-05-19
505,Poetic Justice,1993-07-23
506,The Program,1993-09-24
507,The Puppet Masters,1994-10-21
508,Radioland Murders,1994-10-21
509,The Ref,1994-03-09
510,The Remains of the Day,1993-11-05
511,Renaissance Man,1994-06-03
512,Rising Sun,1993-07-30
513,The Road to Wellville,1994-10-28
514,RoboCop 3,1993-04-17
515,Robin Hood: Men in Tights,1993-07-28
516,Romeo Is Bleeding,1993-09-13
517,Romper Stomper,1992-03-05
518,Ruby in Paradise,1993-10-08
519,Rudy,1993-09-17
520,The Saint of Fort Washington,1993-11-03
521,Savage Nights,1992-08-19
522,Schindler's List,1993-11-29
523,The Scout,1994-09-30
524,Searching for Bobby Fischer,1993-08-13
525,Second Best,1994-09-30
526,The Secret Garden,1993-08-13
527,Serial Mom,1994-04-13
528,The Shadow,1994-07-01
529,Shadowlands,1993-12-25
530,Short Cuts,1993-09-05
531,A Simple Twist of Fate,1994-09-02
532,Sirens,1993-10-01
533,Six Degrees of Separation,1993-12-08
534,Sleepless in Seattle,1993-06-24
535,Sliver,1993-05-21
536,Blade Runner,1982-06-25
537,Son in Law,1993-07-02
538,So I Married an Axe Murderer,1993-07-30
539,Striking Distance,1993-09-17
540,Harem,1985-11-20
541,Super Mario Bros.,1993-05-28
542,Surviving the Game,1994-04-15
543,Terminal Velocity,1994-09-23
544,Thirty Two Short Films About Glenn Gould,1993-11-26
545,Threesome,1994-04-08
546,The Nightmare Before Christmas,1993-10-09
547,The Three Musketeers,1993-11-11
548,Tombstone,1993-12-25
549,Trial by Jury,1994-09-09
550,True Romance,1993-09-09
551,The War Room,1993-12-05
552,The Pagemaster,1994-11-23
553,"Paris, France",1994-02-04
554,"The Beans of Egypt, Maine",1994-01-01
555,Killer,1994-09-14
556,Welcome to the Dollhouse,1995-05-24
557,Germinal,1993-09-29
558,Chasers,1994-04-22
559,Cronos,1993-09-12
560,Naked in New York,1993-11-10
561,Kika,1993-10-28
562,Bhaji on the Beach,1994-01-21
563,Little Big League,1994-06-29
564,The Slingshot,1993-09-24
565,Wide Eyed and Legless,1993-09-05
566,Foreign Student,1994-07-29
567,"Ciao, Professore!",1992-10-01
568,Spanking the Monkey,1994-01-15
569,The Little Rascals,1994-08-05
570,À la mode,1993-09-10
571,Andre,1994-08-17
572,The Escort,1993-01-01
573,Princess Caraboo,1994-09-16
574,The Celluloid Closet,1996-01-30
575,Café au Lait,1993-01-01
576,Dear Diary,1993-10-12
577,I Don't Want to Talk About It,1993-05-20
578,The Brady Bunch Movie,1995-02-16
579,Home Alone,1990-11-09
580,Ghost,1990-07-12
581,Aladdin,1992-11-25
582,Terminator 2: Judgment Day,1991-07-01
583,Dances with Wolves,1990-11-09
584,Tough and Deadly,1995-02-14
585,Batman,1989-06-23
586,The Silence of the Lambs,1991-02-01
587,Snow White and the Seven Dwarfs,1937-12-20
588,Beauty and the Beast,1991-11-13
589,Pinocchio,1940-02-23
590,Pretty Woman,1990-03-23
591,Window to Paris,1993-12-01
592,The Wild Bunch,1969-06-17
593,Love and a .45,1994-11-23
594,The Wooden Man's Bride,1994-02-05
595,A Great Day in Harlem,1994-09-27
596,Bye Bye Love,1995-03-16
597,One Fine Day,1996-12-20
598,Candyman: Farewell to the Flesh,1995-03-17
599,Century,1993-12-31
600,Fargo,1996-04-05
601,Homeward Bound II: Lost in San Francisco,1996-03-08
602,Heavy Metal,1981-08-07
603,Hellraiser: Bloodline,1996-03-08
604,The Pallbearer,1996-05-03
605,Jane Eyre,1996-02-09
606,Loaded,1996-04-12
607,Bread and Chocolate,1974-05-05
608,The Aristocats,1970-12-23
609,The Flower of My Secret,1995-09-22
610,Two Much,1996-02-14
611,Ed,1996-03-15
612,Scream of Stone,1991-01-01
613,My Favorite Season,1993-05-14
614,A Modern Affair,1996-09-06
615,Condition Red,1995-12-08
616,Halfaouine: Boy of the Terraces,1990-01-01
617,A Thin Line Between Love and Hate,1996-04-04
618,The Last Supper,1995-09-08
619,Primal Fear,1996-04-03
620,Rude,1995-09-08
621,Carried Away,1996-01-26
622,All Dogs Go to Heaven 2,1996-03-29
623,Land and Freedom,1995-01-01
624,Denise Calls Up,1995-05-17
625,Theodore Rex,1995-12-14
626,A Family Thing,1996-03-29
627,Frisk,1996-03-22
628,Sgt. Bilko,1996-03-29
629,Jack & Sarah,1995-06-02
630,Girl 6,1996-03-22
631,Diabolique,1996-03-22
632,"Little Indian, Big City",1994-12-14
633,Roula,1995-09-11
634,Peanuts – Die Bank zahlt alles,1996-03-21
635,Happy Weekend,1996-03-14
636,Nelly and Monsieur Arnaud,1996-04-12
637,Courage Under Fire,1996-07-04
638,Mission: Impossible,1996-05-22
639,Cold Fever,1995-02-10
640,Moll Flanders,1996-06-14
641,The Superwife,1996-03-06
642,"301, 302",1995-04-22
643,DragonHeart,1996-05-31
644,Und keiner weint mir nach,1996-02-29
645,My Mother's Courage,1995-09-12
646,Eddie,1996-05-31
647,Yankee Zulu,1993-12-01
648,Billy's Holiday,1995-07-26
649,Purple Noon,1960-03-10
650,August,1996-08-08
651,James and the Giant Peach,1996-04-12
652,Fear,1996-04-12
653,Kids in the Hall: Brain Candy,1996-04-02
654,Faithful,1996-04-03
655,Underground,1995-04-11
656,All Things Fair,1995-03-08
657,Bloodsport II,1996-03-01
658,Pather Panchali,1955-08-26
659,The World of Apu,1959-05-01
660,Mystery Science Theater 3000: The Movie,1996-04-19
661,Tarantella,1996-03-15
662,Space Jam,1996-11-15
663,Barbarella,1968-10-10
664,Hostile Intentions,1995-01-01
665,They Bite,1996-01-01
666,Some Folks Call It a Sling Blade,1994-03-26
667,The Run of the Country,1995-09-22
668,Alphaville,1965-05-05
669,Coup de Torchon,1981-11-04
670,Tigrero: A Film That Was Never Made,1994-01-01
671,The Eye of Vichy,1993-05-20
672,Windows,1980-01-18
673,It's My Party,1996-03-22
674,Country Life,1994-10-27
675,Operation Dumbo Drop,1995-07-28
676,The Promise,1995-02-16
677,The Promise,1995-02-16
678,Mrs. Winterbourne,1996-04-19
679,Solo,1996-10-23
680,Under The Domim Tree,1994-01-01
681,The Substitute,1996-04-19
682,True Crime,1996-03-12
683,Butterfly Kiss,1995-08-18
684,Feeling Minnesota,1996-09-13
685,Delta of Venus,1995-06-09
686,To Cross the Rubicon,1991-01-01
687,Angus,1995-09-15
688,Priest Daens,1992-09-01
689,Faces,1968-11-24
690,Boys,1996-05-10
691,The Quest,1996-04-19
692,Cosi,1996-03-04
693,Sunset Park,1996-04-26
694,Mulholland Falls,1996-04-26
695,The Truth About Cats & Dogs,1996-04-26
696,Oliver & Company,1988-11-18
697,Celtic Pride,1996-04-19
698,Flipper,1996-05-17
699,Captives,1994-05-03
700,Of Love and Shadows,1994-05-10
701,Dead Man,1995-12-23
702,The Horseman on the Roof,1995-09-20
703,Switchblade Sisters,1975-01-05
704,Mouth to Mouth,1995-11-10
705,The Visitors,1993-01-27
706,Multiplicity,1996-07-19
707,"The Haunted World of Edward D. Wood, Jr.",1996-05-01
708,Two Friends,2002-03-20
709,The Craft,1996-05-03
710,The Great White Hype,1996-05-03
711,Last Dance,1996-05-02
712,Cold Comfort Farm,1995-01-01
713,"Institute Benjamenta, or This Dream People Call Human Life",1995-08-01
714,Heaven's Prisoners,1996-05-17
715,Original Gangstas,1996-05-10
716,The Rock,1996-06-06
717,Getting Away with Murder,1996-04-12
718,Cemetery Man,1994-03-25
719,Twister,1996-05-10
720,Barb Wire,1996-05-02
721,Le Garçu,1995-10-31
722,Honeymoon,1996-04-11
723,Ghost in the Shell,1995-11-18
724,Thinner,1996-10-25
725,Spy Hard,1996-05-24
726,Brothers in Trouble,1995-08-23
727,A Close Shave,1995-12-24
728,Force of Evil,1948-12-25
729,The Stupids,1996-08-30
730,The Arrival,1996-05-31
731,The Man from Down Under,1943-08-04
732,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29
733,Careful,1992-09-30
734,A Month by the Lake,1995-09-11
735,Gold Diggers: The Secret of Bear Mountain,1995-11-03
736,Kim,1950-12-07
737,Carmen Miranda: Bananas Is My Business,1995-04-13
738,Ashes of Time,1994-09-16
739,The Jar,1994-04-01
740,Maya Lin: A Strong Clear Vision,1995-11-10
741,Stalingrad,1993-01-21
742,The Phantom,1996-06-06
743,Striptease,1996-06-28
744,The Last of the High Kings,1996-12-06
745,Heavy,1995-01-20
746,Jack,1996-08-09
747,I Shot Andy Warhol,1996-05-01
748,The Grass Harp,1995-09-10
749,Someone Else's America,1995-09-09
750,Life is Rosy,1987-11-17
751,Quartier Mozart,1992-05-26
752,Touki Bouki,1973-07-01
753,God's Gift,1982-01-01
754,Spirits of the Dead,1968-05-16
755,Babyfever,1994-05-04
756,Pharaoh's  Army,1995-01-01
757,Trainspotting,1996-02-23
758,Til There Was You,1997-05-30
759,Independence Day,1996-06-25
760,Stealing Beauty,1996-03-29
761,The Fan,1996-08-15
762,The Hunchback of Notre Dame,1996-06-21
763,The Cable Guy,1996-06-10
764,Kingpin,1996-07-04
765,Eraser,1996-06-21
766,The Gate of Heavenly Peace,1995-01-01
767,The Nutty Professor,1996-06-26
768,"I, the Worst of All",1990-08-09
769,An Unforgettable Summer,1994-05-15
770,A Hungarian Fairy Tale,1987-01-01
771,My Life and Times With Antonin Artaud,1993-01-01
772,Midnight Dancers,1994-09-09
773,Somebody to Love,1994-09-27
774,A Very Natural Thing,1974-01-01
775,The Old Lady Who Walked in the Sea,1991-09-18
776,Daylight,1996-12-06
777,The Frighteners,1996-07-18
778,Lone Star,1996-06-21
779,Harriet the Spy,1996-07-10
780,Phenomenon,1996-07-05
781,Walking and Talking,1996-07-17
782,She's the One,1996-08-26
783,A Time to Kill,1996-07-24
784,American Buffalo,1996-09-13
785,Rendezvous in Paris,1995-03-22
786,Alaska,1996-08-14
787,Fled,1996-07-19
788,Kazaam,1996-07-17
789,Magic Hunter,1994-10-23
790,Larger Than Life,1996-10-31
791,A Boy Called Hate,1996-05-22
792,Power 98,1996-05-17
793,Two Deaths,1995-09-10
794,A Very Brady Sequel,1996-08-23
795,Stefano Quantestorie,1993-05-26
796,Death in the Garden,1956-09-21
797,Hedd Wyn,1992-01-01
798,La Collectionneuse,1967-03-02
799,Kaspar Hauser,1993-09-11
800,Regular Guys,1996-05-30
