,title,crew,return,release_date,release_year,budget,revenue
52,Lamerica,['Gianni Amelio'],0.0,1994-01-01,1994,0,0.0
53,The Big Green,['Holly Goldberg Sloan'],0.0,1995-09-29,1995,0,0.0
54,Georgia,['Ulu Grosbard'],0.0,1995-05-19,1995,0,0.0
55,Kids of the Round Table,['Robert Tinnell'],0.0,1997-07-08,1997,0,0.0
56,Home for the Holidays,['Jodie Foster'],0.0,1995-11-02,1995,0,17519169.0
57,The Postman,['Michael Radford'],0.0,1994-09-22,1994,0,0.0
58,The Confessional,['Robert Lepage'],0.0,1995-09-29,1995,0,0.0
59,The Indian in the Cupboard,['Frank Oz'],0.0,1995-07-14,1995,45000000,0.0
60,Eye for an Eye,['John Schlesinger'],0.0,1996-01-12,1996,20000000,0.0
61,Mr. Holland's Opus,['Stephen Herek'],0.0,1995-12-29,1995,0,106269971.0
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['Paris Barclay'],0.0,1996-01-12,1996,0,0.0
63,Two If by Sea,['Bill Bennett'],0.0,1996-01-12,1996,0,0.0
64,Bio-Dome,['Jason Bloom'],0.0,1996-01-12,1996,15000000,0.0
65,Lawnmower Man 2: Beyond Cyberspace,['Farhad Mann'],0.0,1996-01-12,1996,0,2409225.0
66,Two Bits,['James Foley'],0.0,1995-10-22,1995,0,0.0
67,French Twist,['Josiane Balasko'],0.0,1995-02-08,1995,0,0.0
68,Friday,['F. Gary Gray'],8.06,1995-04-26,1995,3500000,28215918.0
69,From Dusk Till Dawn,['Robert Rodriguez'],1.36,1996-01-19,1996,19000000,25836616.0
70,Fair Game,['Andrew Sipes'],0.23,1995-11-03,1995,50000000,11534477.0
71,Kicking and Screaming,['Noah Baumbach'],0.0,1995-10-06,1995,0,718490.0
72,Les Miserables,['Claude Lelouch'],0.0,1995-03-22,1995,0,0.0
73,Bed of Roses,['Michael Goldenberg'],0.0,1996-01-26,1996,0,19030691.0
74,Big Bully,['Steve Miner'],0.14,1996-01-26,1996,15000000,2042530.0
75,Screamers,['Christian Duguay'],0.29,1995-09-08,1995,20000000,5781885.0
76,Nico Icon,['Susanne Ofteringer'],0.0,1995-02-18,1995,0,0.0
77,The Crossing Guard,['Sean Penn'],0.0,1995-11-15,1995,0,0.0
78,The Juror,['Brian Gibson'],0.0,1996-02-02,1996,44000000,0.0
79,The White Balloon,['Jafar Panahi'],0.0,1995-01-01,1995,0,0.0
80,Things to Do in Denver When You're Dead,['Gary Fleder'],0.07,1995-12-01,1995,8000000,529766.0
81,Antonia's Line,['Marleen Gorris'],0.0,1995-09-12,1995,900000,0.0
82,Once Upon a Time... When We Were Colored,['Tim Reid'],0.0,1996-01-26,1996,0,0.0
83,Last Summer in the Hamptons,['Henry Jaglom'],0.0,1995-11-22,1995,0,0.0
84,Angels and Insects,['Philip Haas'],0.0,1995-09-10,1995,0,0.0
85,White Squall,['Ridley Scott'],0.27,1996-02-02,1996,38000000,10300000.0
86,Dunston Checks In,['Ken Kwapis'],0.0,1996-01-12,1996,16000000,0.0
87,Black Sheep,['Penelope Spheeris'],0.0,1996-02-01,1996,0,32.0
88,Nick of Time,['John Badham'],1.0,1995-11-22,1995,8169363,8175346.0
89,The Journey of August King,['John Duigan'],0.0,1995-09-14,1995,0,0.0
90,Mary Reilly,['Stephen Frears'],0.26,1996-02-23,1996,47000000,12379402.0
91,Vampire in Brooklyn,['Wes Craven'],1.41,1995-10-26,1995,14000000,19800000.0
92,Beautiful Girls,['Ted Demme'],0.0,1996-02-09,1996,0,0.0
93,Broken Arrow,['John Woo'],3.01,1996-02-09,1996,50000000,150270147.0
94,A Midwinter's Tale,['Kenneth Branagh'],0.0,1995-12-01,1995,0,0.0
95,La Haine,['Mathieu Kassovitz'],0.0,1995-05-31,1995,3000000,0.0
96,Shopping,['Paul W.S. Anderson'],0.0,1994-12-06,1994,0,0.0
97,Heidi Fleiss: Hollywood Madam,['Nick Broomfield'],0.0,1995-12-27,1995,0,0.0
98,City Hall,['Harold Becker'],0.0,1996-02-16,1996,0,0.0
99,Bottle Rocket,['Wes Anderson'],0.08,1996-02-21,1996,7000000,560069.0
100,Mr. Wrong,['Nick Castle'],0.0,1996-02-16,1996,0,0.0
101,Unforgettable,['John Dahl'],0.0,1996-02-23,1996,18000000,0.0
102,Happy Gilmore,['Dennis Dugan'],3.43,1996-02-16,1996,12000000,41205099.0
103,The Bridges of Madison County,['Clint Eastwood'],7.58,1995-05-28,1995,24000000,182016617.0
104,Nobody Loves Me,['Doris Dörrie'],0.0,1994-11-07,1994,0,0.0
105,Muppet Treasure Island,['Brian Henson'],0.0,1996-02-16,1996,0,34327391.0
106,Catwalk,['Robert Leacock'],0.0,1995-12-08,1995,0,0.0
107,Headless Body in Topless Bar,['James Bruce'],0.0,1995-05-20,1995,0,0.0
108,Braveheart,['Mel Gibson'],2.92,1995-05-24,1995,72000000,210000000.0
109,Taxi Driver,['Martin Scorsese'],21.74,1976-02-07,1976,1300000,28262574.0
110,Rumble in the Bronx,['Stanley Tong'],4.32,1995-01-30,1995,7500000,32392047.0
111,Before and After,['Barbet Schroeder'],0.0,1996-02-23,1996,35000000,0.0
112,Margaret's Museum,['Mort Ransen'],0.0,1995-09-13,1995,0,0.0
113,Happiness Is in the Field,['Étienne Chatiliez'],0.0,1995-01-31,1995,13365000,0.0
114,Anne Frank Remembered,['Jon Blair'],0.0,1995-06-08,1995,0,1.0
115,The Young Poisoner's Handbook,['Benjamin Ross'],0.0,1995-01-20,1995,0,0.0
116,If Lucy Fell,['Eric Schaeffer'],0.0,1996-03-08,1996,0,0.0
117,Steal Big Steal Little,['Andrew Davis'],0.25,1995-09-29,1995,25000000,6278139.0
118,Race the Sun,['Charles T. Kanganis'],0.0,1996-03-22,1996,0,0.0
119,The Boys of St. Vincent,['John N. Smith'],0.0,1992-12-06,1992,0,0.0
120,Boomerang,['Reginald Hudlin'],1.75,1992-06-30,1992,40000000,70100000.0
121,Chungking Express,['Wong Kar-wai'],0.0,1994-07-14,1994,0,0.0
122,The Star Maker,['Giuseppe Tornatore'],0.0,1995-09-21,1995,0,0.0
123,Flirting with Disaster,['David O. Russell'],2.1,1996-03-22,1996,7000000,14702438.0
124,The Neverending Story III: Escape from Fantasia,['Peter MacDonald'],0.0,1994-10-26,1994,17000000,0.0
125,The Silences of the Palace,['Moufida Tlatli'],0.0,1994-09-30,1994,0,0.0
126,Jupiter's Wife,['Michel Negroponte'],0.0,1995-01-01,1995,0,0.0
127,Pie in the Sky,['Bryan Gordon'],0.0,1996-02-09,1996,0,0.0
128,Angela,['Rebecca Miller'],0.0,1995-01-01,1995,0,0.0
129,Frankie Starlight,['Michael Lindsay-Hogg'],0.0,1995-11-22,1995,0,0.0
130,Jade,['William Friedkin'],0.2,1995-10-13,1995,50000000,9851610.0
131,Nueba Yol,['Ángel Muñiz'],0.0,1995-08-16,1995,0,0.0
132,Sonic Outlaws,['Craig Baldwin'],0.0,1995-08-01,1995,0,0.0
133,Down Periscope,['David S. Ward'],0.0,1996-03-01,1996,0,0.0
134,From the Journals of Jean Seberg,['Mark Rappaport'],0.0,1995-09-08,1995,0,0.0
135,Man of the Year,['Dirk Shafer'],0.0,1995-09-15,1995,0,209935.0
136,The Neon Bible,['Terence Davies'],0.0,1995-08-23,1995,0,0.0
137,Target,['Sandip Ray'],0.0,1995-08-01,1995,0,0.0
138,Up Close & Personal,['Jon Avnet'],0.0,1996-03-01,1996,60000000,0.0
139,The Birdcage,['Mike Nichols'],5.98,1996-03-08,1996,31000000,185260553.0
140,Virgin Mary,['Jakov Sedlar'],0.0,1995-10-12,1995,0,0.0
141,The Brothers McMullen,['Edward Burns'],0.0,1995-08-09,1995,0,0.0
142,Bad Boys,['Michael Bay'],7.44,1995-04-07,1995,19000000,141407024.0
143,The Amazing Panda Adventure,['Christopher Cain'],0.0,1995-08-25,1995,0,0.0
144,The Basketball Diaries,['Scott Kalvert'],0.0,1995-04-21,1995,0,0.0
145,An Awfully Big Adventure,['Mike Newell'],0.21,1995-07-21,1995,4000000,851545.0
146,Amateur,['Hal Hartley'],0.0,1994-08-05,1994,0,0.0
147,Apollo 13,['Ron Howard'],6.83,1995-06-30,1995,52000000,355237933.0
148,Rob Roy,['Michael Caton-Jones'],1.13,1995-04-13,1995,28000000,31596911.0
149,The Addiction,['Abel Ferrara'],0.0,1995-01-10,1995,0,0.0
150,Batman Forever,['Joel Schumacher'],3.37,1995-06-16,1995,100000000,336529144.0
151,Belle de Jour,['Luis Buñuel'],0.0,1967-05-24,1967,0,0.0
152,Beyond Rangoon,['John Boorman'],0.0,1995-05-24,1995,0,0.0
153,Blue in the Face,"['Paul Auster', 'Wayne Wang']",0.64,1995-09-15,1995,2000000,1275000.0
154,Canadian Bacon,['Michael Moore'],0.02,1995-06-08,1995,11000000,178104.0
155,Casper,['Brad Silberling'],5.76,1995-05-26,1995,50000000,287928194.0
156,Clockers,['Spike Lee'],0.52,1995-09-15,1995,25000000,13071518.0
157,Congo,['Frank Marshall'],3.04,1995-06-09,1995,50000000,152022101.0
158,Crimson Tide,['Tony Scott'],2.97,1995-05-12,1995,53000000,157387195.0
159,Crumb,['Terry Zwigoff'],0.0,1994-09-10,1994,0,3174695.0
160,Desperado,['Robert Rodriguez'],3.63,1995-08-25,1995,7000000,25405445.0
161,Devil in a Blue Dress,['Carl Franklin'],0.6,1995-09-15,1995,27000000,16140822.0
162,Die Hard: With a Vengeance,['John McTiernan'],4.07,1995-05-19,1995,90000000,366101666.0
163,The Doom Generation,['Gregg Araki'],0.0,1995-10-27,1995,0,0.0
164,Feast of July,['Christopher Menaul'],0.0,1995-10-12,1995,0,0.0
165,First Knight,['Jerry Zucker'],2.32,1995-07-07,1995,55000000,127600435.0
166,Free Willy 2 - The Adventure Home,['Dwight H. Little'],0.0,1995-07-19,1995,0,0.0
167,Hackers,['Iain Softley'],0.38,1995-09-14,1995,20000000,7563728.0
168,Jeffrey,['Christopher Ashley'],0.0,1995-08-18,1995,0,0.0
169,Johnny Mnemonic,['Robert Longo'],0.76,1995-05-26,1995,25000000,19075720.0
170,Judge Dredd,['Danny Cannon'],1.26,1995-06-30,1995,90000000,113493481.0
171,Jury Duty,['John Fortenberry'],0.0,1995-04-12,1995,0,17014653.0
172,Kids,['Larry Clark'],4.94,1995-07-28,1995,1500000,7412216.0
173,Living in Oblivion,['Tom DiCillo'],2.3,1995-01-20,1995,500000,1148752.0
174,Lord of Illusions,['Clive Barker'],0.0,1995-08-25,1995,0,0.0
175,Love & Human Remains,['Denys Arcand'],0.0,1993-05-20,1993,0,0.0
176,Mad Love,['Antonia Bird'],0.0,1995-05-26,1995,0,15453274.0
177,Mallrats,['Kevin Smith'],0.35,1995-10-20,1995,6000000,2122561.0
178,Mighty Morphin Power Rangers: The Movie,['Bryan Spicer'],4.4,1995-06-30,1995,15000000,66000000.0
179,Moonlight and Valentino,['David Anspaugh'],0.0,1995-09-29,1995,0,0.0
180,Mute Witness,['Anthony Waller'],0.5,1995-09-28,1995,2,1.0
181,Nadja,['Michael Almereyda'],0.0,1994-09-13,1994,0,0.0
182,The Net,['Irwin Winkler'],5.03,1995-07-28,1995,22000000,110627965.0
183,Nine Months,['Chris Columbus'],0.0,1995-07-12,1995,0,69660733.0
184,Party Girl,['Daisy von Scherler Mayer'],3.15,1995-06-09,1995,150000,472370.0
185,The Prophecy,['Gregory Widen'],2.0,1995-09-01,1995,8,16.0
186,Reckless,['Norman René'],0.0,1995-11-17,1995,0,0.0
187,Safe,['Todd Haynes'],0.0,1995-06-23,1995,0,0.0
188,The Scarlet Letter,['Roland Joffé'],0.21,1995-10-13,1995,50000000,10382407.0
189,The Show,[],0.0,1995-08-25,1995,0,0.0
190,Showgirls,['Paul Verhoeven'],0.45,1995-09-22,1995,45000000,20350754.0
191,Smoke,"['Wayne Wang', 'Paul Auster']",1.19,1995-06-09,1995,7000000,8349430.0
192,Something to Talk About,['Lasse Hallström'],0.0,1995-08-04,1995,0,50892160.0
193,Species,['Roger Donaldson'],3.24,1995-07-07,1995,35000000,113374103.0
194,The Stars Fell on Henrietta,['James Keach'],0.0,1995-09-15,1995,0,0.0
195,Strange Days,['Kathryn Bigelow'],0.19,1995-10-13,1995,42000000,7959291.0
196,The Umbrellas of Cherbourg,['Jacques Demy'],0.0,1964-02-19,1964,0,0.0
197,The Tie That Binds,['Wesley Strick'],0.41,1995-09-08,1995,14000000,5780000.0
198,Three Wishes,['Martha Coolidge'],0.0,1995-10-27,1995,0,7025496.0
199,Total Eclipse,['Agnieszka Holland'],0.0,1995-11-02,1995,0,339889.0
200,"To Wong Foo, Thanks for Everything! Julie Newmar",['Beeban Kidron'],0.0,1995-09-07,1995,0,47774193.0
201,Under Siege 2: Dark Territory,['Geoff Murphy'],1.74,1995-07-13,1995,60000000,104324083.0
202,Unstrung Heroes,['Diane Keaton'],0.0,1995-09-15,1995,0,0.0
203,Unzipped,['Douglas Keeve'],0.0,1995-08-11,1995,0,0.0
204,A Walk in the Clouds,['Alfonso Aráu'],2.5,1995-08-11,1995,20000000,50012507.0
205,Waterworld,['Kevin Reynolds'],1.51,1995-07-28,1995,175000000,264218220.0
206,White Man's Burden,['Desmond Nakano'],0.0,1995-12-01,1995,8000000,0.0
207,Wild Bill,['Walter Hill'],0.0,1995-12-01,1995,30000000,0.0
208,The Browning Version,['Mike Figgis'],0.0,1994-10-12,1994,0,0.0
209,Bushwhacked,['Greg Beeman'],0.0,1995-08-04,1995,0,0.0
210,Burnt by the Sun,['Nikita Mikhalkov'],0.93,1994-05-01,1994,2800000,2616503.0
211,Before the Rain,['Milčo Mančevski'],0.0,1994-06-09,1994,0,763847.0
212,Before Sunrise,['Richard Linklater'],2.21,1995-01-27,1995,2500000,5535405.0
213,Billy Madison,['Tamra Davis'],2.65,1995-02-10,1995,10000000,26488734.0
214,The Babysitter,['Guy Ferland'],0.0,1995-10-17,1995,0,0.0
215,Boys on the Side,['Herbert Ross'],1.12,1995-02-03,1995,21000000,23450000.0
216,The Cure,['Peter Horton'],0.0,1995-04-21,1995,0,0.0
217,Castle Freak,['Stuart Gordon'],0.0,1995-08-04,1995,0,0.0
218,Circle of Friends,"[""Pat O'Connor""]",0.0,1995-03-16,1995,0,0.0
219,Clerks,['Kevin Smith'],116.71,1994-09-13,1994,27000,3151130.0
220,Don Juan DeMarco,['Jeremy Leven'],0.89,1994-10-01,1994,25000000,22200000.0
221,Disclosure,['Barry Levinson'],3.89,1994-12-09,1994,55000000,214015089.0
222,Dream Man,['René Bonnière'],0.0,1995-01-01,1995,0,0.0
223,Drop Zone,['John Badham'],0.0,1994-12-08,1994,45000000,0.0
224,Destiny Turns on the Radio,['Jack Baran'],0.0,1995-04-28,1995,0,0.0
225,Death and the Maiden,['Roman Polanski'],0.0,1994-05-04,1994,0,0.0
226,Dolores Claiborne,['Taylor Hackford'],0.0,1995-03-24,1995,0,0.0
227,Dumb and Dumber,"['Peter Farrelly', 'Bobby Farrelly']",15.45,1994-12-16,1994,16000000,247275374.0
228,Eat Drink Man Woman,['Ang Lee'],0.0,1994-08-03,1994,0,7294403.0
229,Exotica,['Atom Egoyan'],0.0,1994-09-24,1994,0,0.0
230,Exit to Eden,['Garry Marshall'],0.0,1994-10-14,1994,0,6841570.0
231,Ed Wood,['Tim Burton'],0.33,1994-09-27,1994,18000000,5887457.0
232,French Kiss,['Lawrence Kasdan'],0.0,1995-05-05,1995,0,0.0
233,Forget Paris,['Billy Crystal'],0.0,1995-05-19,1995,0,0.0
234,Far from Home: The Adventures of Yellow Dog,['Phillip Borsos'],0.0,1995-01-13,1995,0,0.0
235,A Goofy Movie,"['Kevin Lima', 'Paul Brizzi']",0.0,1995-04-07,1995,0,35348597.0
236,Hideaway,['Brett Leonard'],0.81,1995-03-03,1995,15000000,12201255.0
237,Fluke,['Carlo Carlei'],0.0,1995-06-02,1995,0,0.0
238,Farinelli,['Gérard Corbiau'],0.0,1994-12-07,1994,0,0.0
239,Gordy,['Mark Lewis'],0.0,1995-05-12,1995,0,3992809.0
240,Gumby: The Movie,['Art Clokey'],0.0,1995-12-01,1995,0,0.0
241,The Glass Shield,['Charles Burnett'],0.0,1994-09-16,1994,0,0.0
242,Hoop Dreams,['Steve James'],11.19,1994-09-12,1994,700000,7830611.0
243,Heavenly Creatures,['Peter Jackson'],0.61,1994-09-02,1994,5000000,3049135.0
244,Houseguest,['Randall Miller'],2.51,1995-01-06,1995,10500000,26325256.0
245,Immortal Beloved,['Bernard Rose'],0.0,1994-12-16,1994,120,0.0
246,Heavyweights,['Steven Brill'],0.0,1995-02-17,1995,0,17689177.0
247,The Hunted,['J. F. Lawton'],0.0,1995-02-24,1995,0,0.0
248,I.Q.,['Fred Schepisi'],0.0,1994-12-24,1994,25000000,0.0
249,Interview with the Vampire,['Neil Jordan'],3.73,1994-11-11,1994,60000000,223664608.0
250,Jefferson in Paris,['James Ivory'],0.18,1995-03-31,1995,14000000,2474000.0
251,The Jerky Boys,['James Melkonian'],0.0,1995-02-03,1995,0,0.0
252,Junior,['Ivan Reitman'],0.62,1994-11-22,1994,60000000,37000000.0
253,Just Cause,['Arne Glimcher'],0.0,1995-02-17,1995,0,0.0
254,A Kid in King Arthur's Court,['Michael Gottlieb'],0.0,1995-08-11,1995,0,0.0
255,Kiss of Death,['Barbet Schroeder'],0.0,1995-04-21,1995,40000000,0.0
256,Star Wars,['George Lucas'],70.49,1977-05-25,1977,11000000,775398007.0
257,Little Women,['Gillian Armstrong'],0.0,1994-12-21,1994,18000000,0.0
258,A Little Princess,['Alfonso Cuarón'],0.0,1995-05-10,1995,17000000,0.0
259,Ladybird Ladybird,['Ken Loach'],0.0,1994-02-18,1994,0,0.0
260,L'Enfer,['Claude Chabrol'],0.0,1994-02-16,1994,10000000,0.0
261,Like Water for Chocolate,['Alfonso Aráu'],10.83,1992-04-16,1992,2000000,21665468.0
262,Legends of the Fall,['Edward Zwick'],5.35,1994-12-16,1994,30000000,160638883.0
263,Major Payne,['Nick Castle'],0.0,1995-03-24,1995,0,0.0
264,Little Odessa,['James Gray'],0.0,1994-10-27,1994,0,0.0
265,Mi Vida Loca,['Allison Anders'],0.0,1994-06-08,1994,0,0.0
266,Love Affair,['Glenn Gordon Caron'],0.0,1994-10-21,1994,60000000,0.0
267,Losing Isaiah,['Stephen Gyllenhaal'],0.45,1995-03-17,1995,17000000,7603766.0
268,The Madness of King George,['Nicholas Hytner'],0.0,1994-12-28,1994,0,0.0
269,Mary Shelley's Frankenstein,['Kenneth Branagh'],2.49,1994-11-04,1994,45000000,112006296.0
270,Man of the House,['James Orr'],0.0,1995-03-03,1995,0,0.0
271,Mixed Nuts,['Nora Ephron'],0.0,1994-12-21,1994,15000000,0.0
272,Milk Money,['Richard Benjamin'],0.0,1994-08-31,1994,0,18137661.0
273,Miracle on 34th Street,['Les Mayfield'],0.0,1994-11-18,1994,0,46264384.0
274,Miami Rhapsody,['David Frankel'],0.83,1995-01-27,1995,6,5.0
275,My Family,['Gregory Nava'],0.0,1995-05-03,1995,5500000,0.0
276,Murder in the First,['Marc Rocco'],0.0,1995-01-20,1995,0,17381942.0
277,Nobody's Fool,['Robert Benton'],0.0,1994-12-23,1994,0,0.0
278,Nell,['Michael Apted'],3.44,1994-12-23,1994,31000000,106683817.0
279,New Jersey Drive,['Nick Gomez'],0.0,1995-04-19,1995,0,0.0
280,New York Cop,['Tōru Murakawa'],0.0,1993-08-14,1993,0,0.0
281,Beyond Bedlam,['Vadim Jean'],0.0,1994-04-22,1994,4800000,0.0
282,Nemesis 2 - Nebula,['Albert Pyun'],0.0,1995-09-26,1995,0,0.0
283,Nina Takes a Lover,['Alan Jacobs'],0.0,1995-03-03,1995,0,0.0
284,Natural Born Killers,['Oliver Stone'],1.48,1994-08-25,1994,34000000,50282766.0
285,Only You,['Norman Jewison'],0.0,1994-09-17,1994,0,0.0
286,Once Were Warriors,['Lee Tamahori'],0.0,1994-09-02,1994,0,2201126.0
287,Poison Ivy II: Lily,['Anne Goursaud'],0.0,1996-01-16,1996,0,0.0
288,Outbreak,['Wolfgang Petersen'],3.8,1995-03-10,1995,50000000,189859560.0
289,Leon: The Professional,['Luc Besson'],2.83,1994-09-14,1994,16000000,45284974.0
290,The Perez Family,['Mira Nair'],0.26,1995-05-12,1995,11000000,2832826.0
291,A Pyromaniac's Love Story,['Joshua Brand'],0.0,1995-04-28,1995,0,0.0
292,Pulp Fiction,['Quentin Tarantino'],26.74,1994-09-10,1994,8000000,213928762.0
293,Panther,['Mario Van Peebles'],0.0,1995-11-10,1995,0,6834525.0
294,Pushing Hands,['Ang Lee'],0.38,1992-02-01,1992,400000,152322.0
295,Priest,['Antonia Bird'],0.0,1994-01-01,1994,0,4176932.0
296,Quiz Show,['Robert Redford'],0.0,1994-09-16,1994,0,0.0
297,Picture Bride,['Kayo Hatta'],0.0,1995-05-05,1995,0,0.0
298,Queen Margot,['Patrice Chéreau'],0.0,1994-05-13,1994,0,0.0
299,The Quick and the Dead,['Sam Raimi'],0.58,1995-02-09,1995,32000000,18552460.0
300,Roommates,['Peter Yates'],0.56,1995-03-01,1995,22000000,12400000.0
301,Prêt-à-Porter,['Robert Altman'],0.75,1994-12-23,1994,15000000,11300653.0
302,Three Colors: Red,['Krzysztof Kieślowski'],0.0,1994-05-27,1994,0,0.0
303,Three Colors: Blue,['Krzysztof Kieślowski'],0.0,1993-01-10,1993,0,0.0
304,Three Colors: White,['Krzysztof Kieślowski'],0.0,1994-01-26,1994,0,0.0
305,"Red Firecracker, Green Firecracker",['He Ping'],0.0,1994-10-14,1994,0,0.0
306,Rent-a-Kid,['Fred Gerber'],0.0,1995-01-01,1995,0,0.0
307,Relative Fear,['George Mihalka'],0.0,1995-10-03,1995,0,0.0
308,Stuart Saves His Family,['Harold Ramis'],0.0,1995-04-12,1995,0,0.0
309,The Swan Princess,['Richard Rich'],0.28,1994-11-18,1994,35000000,9771658.0
310,The Secret of Roan Inish,['John Sayles'],0.0,1994-01-01,1994,0,0.0
311,The Specialist,['Luis Llosa'],3.79,1994-10-07,1994,45000000,170362582.0
312,Stargate,['Roland Emmerich'],3.57,1994-10-27,1994,55000000,196567262.0
313,The Santa Clause,['John Pasquin'],8.63,1994-11-10,1994,22000000,189833357.0
314,The Shawshank Redemption,['Frank Darabont'],1.13,1994-09-23,1994,25000000,28341469.0
315,Shallow Grave,['Danny Boyle'],0.0,1994-12-22,1994,0,0.0
316,Suture,"['Scott McGehee', 'David Siegel']",0.0,1993-09-14,1993,0,102780.0
317,Strawberry and Chocolate,"['Tomás Gutiérrez Alea', 'Juan Carlos Tabío']",0.0,1993-01-01,1993,0,0.0
318,Swimming with Sharks,['George Huang'],0.0,1994-09-10,1994,0,0.0
319,The Sum of Us,"['Kevin Dowling', 'Geoff Burton']",0.0,1994-07-12,1994,32,0.0
320,Senior Trip,['Kelly Makin'],0.0,1995-09-08,1995,0,0.0
321,To Live,['Zhang Yimou'],0.0,1994-06-30,1994,0,0.0
322,Tank Girl,['Rachel Talalay'],0.16,1995-03-31,1995,25000000,4064495.0
