,index,title,genres,id,release_year,runtime,popularity,cast,crew
10,10,The Hunger Games: Mockingjay - Part 1,Science Fiction Adventure Thriller,131631,2014,123.0,147.098006,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Donald Sutherland Philip Seymour Hoffman Julianne Moore Willow Shields Sam Claflin Elizabeth Banks Mahershala Ali Jena Malone Jeffrey Wright Paula Malcomson Stanley Tucci Natalie Dormer Evan Ross Elden Henson Wes Chatham Sarita Choudhury Stef Dawson Patina Miller Robert Knepper Caitlin Fowler Jada Taylor Nicholas Pryor Donna Biscoe Michael Garza Erika Bierman Bill Bennett Rus Blackwell Stevie Ray Dallimore Breann Couch Jennifer Cocker Marshall Choka Jordan Woods-Robinson Katie Sawhill Jenique Bennett Charles Kronmuller Tyler Lee Allen Jordanne Calvin Jasmine Ahnie Brayden Patterson Emma Elle Roberts A.J. Sexton Sarah Turner Holland Lauren Henneberg Molly Evensen William Frasca Joe Crosson Gregory Fears Kirk Crenshaw Stephen Mackenzie Brown Stephen Vining,Francis Lawrence
11,11,War for the Planet of the Apes,Drama Science Fiction War,281338,2017,140.0,146.161786,Andy Serkis Woody Harrelson Steve Zahn Karin Konoval Terry Notary Ty Olsson Michael Adamthwaite Toby Kebbell Judy Greer Sara Canning Max Lloyd-Jones Devyn Dalton Aleks Paunovic Amiah Miller Gabriel Chavarria Alessandro Juliani Chad Rook Timothy Webber Roger Cross Mercedes de la Zerda,Matt Reeves
12,12,Captain America: Civil War,Adventure Action Science Fiction,271110,2016,147.0,145.882135,"Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie Don Cheadle Jeremy Renner Chadwick Boseman Paul Bettany Elizabeth Olsen Paul Rudd Emily VanCamp Tom Holland Frank Grillo William Hurt Daniel Brühl Martin Freeman John Slattery Marisa Tomei Hope Davis John Kani Kerry Condon Gene Farber Florence Kasumba Alfre Woodard Jim Rash Stan Lee Joe Russo Damion Poitier Michael A. Cook Laughton Parchment Jackson Spidell Yi Long Heidi Moneymaker Aaron Toney Cale Schultz Ann Russo Cornell John Sven Hönig Joshua Peck Brent McGee Be Satrazemis Blair Jasin Oli Bigalke Rafael Banasik David de Vries John Curran Katie Amess Austin Sanders Brett Gentile Matthew Anderson Andrew Botchwey Chase Bradfield Ernest Charles Hendricks Coates Ethan Condon Shen Dynes Nathaniel Ellis Jariah Ferguson Evan Ffrench Justin Freeman ""Ralphael GrandPierre"" Julian Grimes Aaron Hayes Austin Hooper Amiri Jones Myles Joseph Stephen Lewis Jacob Ludwick ""DMahrei McRae"" Ashwin Mudaliar Eli Ollinger Parker Pape Daniel Parada Jonah Ruffin Darryl Sampson Cameron Sardone Stanley Sellers Miles Selles Jacob Sung Caden Wilkinson Kim Scar Jessica Walther-Gabory Beniamino Brogi Silvina Buchbauer Henry Amadi Ugochukwu Ani Michael Anthony Rogers Umar Khan David Brown Guy Fernandez Sophia Russo Amelia Morck Julianna Guill Surely Alvelo Brian Schaeffer Kevin LaRosa Jr. Al Cerullo Frédéric North Ray Sahetapy",Anthony Russo Joe Russo
13,13,Pulp Fiction,Thriller Crime,680,1994,154.0,140.950236,John Travolta Samuel L. Jackson Uma Thurman Bruce Willis Ving Rhames Harvey Keitel Eric Stoltz Tim Roth Amanda Plummer Maria de Medeiros Quentin Tarantino Christopher Walken Rosanna Arquette Peter Greene Duane Whitaker Angela Jones Phil LaMarr Steve Buscemi Bronagh Gallagher Laura Lovelace Frank Whaley Burr Steers Paul Calderon Jerome Patrick Hoban Michael Gilden Gary Shorelle Susan Griffiths Eric Clark Joseph Pilato Brad Blumenthal Lorelei Leslie Emil Sitka Brenda Hillhouse Chandler Lindauer Sy Sher Robert Ruth Rich Turner Don Blakely Carl Allen Karen Maruyama Kathy Griffin Venessia Valentino Linda Kaye Stephen Hibbert Alexis Arquette Julia Sweeney Lawrence Bender Cie Allman Rene Beard Lori Pizzo Glendon Rich Devan Richardson Ani Sava Philip Ettington,Quentin Tarantino
14,14,Pirates of the Caribbean: Dead Men Tell No Tales,Adventure Action Fantasy Comedy,166426,2017,129.0,133.82782,"Johnny Depp Javier Bardem Geoffrey Rush Brenton Thwaites Kaya Scodelario Kevin McNally Stephen Graham David Wenham Golshifteh Farahani Orlando Bloom Martin Klebba Angus Barnett Adam Brown Danny Kirrane Giles New Delroy Atkinson Paul McCartney Keira Knightley Anthony De La Torre Lewis McGowan Juan Carlos Vellido Rodney Afif Bruce Spence Zoe Ventoura James Mackay Brooke Chamberlain Alexander Scheer Goran D. Kleut Wassim Hawat ""Ben OToole"" Finn Ireland Nico Cortez James Fraser Derani Scarr Robert Morgan Goran D. Kleut Mahesh Jadu Travis Jeffery Akos Armont Sean Lynch ""Ben OToole"" Akshay Caplash Rafael Torrijos Mivon Prince-Leyva Michael Dorman Rohan Nichol Rupert Raineri Stephen Lopez Richard Piper Justin Smith John Leary Bryan Probets Ken Radley Hannah Walters Jonathan Elsom K. Todd Freeman James Lawson Darcy Laurie Jessica Green Haley Madison Kiara Freeman Piper Nairn Suzanne Dervish-Ali Donnie Baxter Winnie Mzembe Christie-Lee Britten Mollie McGregor Sophia McGregor",Joachim Rønning Espen Sandberg
15,15,The Dark Knight,Drama Action Crime Thriller,155,2008,152.0,123.167259,"Christian Bale Michael Caine Heath Ledger Aaron Eckhart Gary Oldman Maggie Gyllenhaal Morgan Freeman Monique Gabriela Curnen Ron Dean Chin Han Nestor Carbonell Eric Roberts Cillian Murphy Ritchie Coster Anthony Michael Hall Keith Szarabajka Colin McFarlane Joshua Harto Melinda McGraw Nathan Gamble William Fichtner Michael Vieau Michael Stoyanov William Smillie Michael Jai White Danny Goldring ""Matthew ONeill"" Olumiji Olawumi Greg Beam Erik Hellman Beatrice Rosen Vincenzo Nicoli Edison Chen Nydia Rodriguez Terracina Andy Luther James Farruggio Tom McElroy Will Zahrn James Fierro Patrick Leahy Sam Derence Jennifer Knox Patrick Clear Sarah Jayne Dunn Charles Venn Winston G. Ellis David Dastmalchian Sophia Hinshelwood Keith Kupferer Joseph Luis Caballero Richard Dillane Daryl Satcher Chris Petschler Aidan Feore Philip Bulcock Paul Birchard Walter Lewis Vincent Riotta Nancy Crane K. Todd Freeman Matt Shallenberger Michael Andrew Gorman Lanny Lutz Peter DeFaria Matt Rippy Andrew Bicknell Ariyon Bakare Doug Ballard Helene Wilson Tommy Campbell Craig Heaney Lorna Gayle Lisa McAllister Peter Brooke Joshua Rollins Dale Rivera Matthew Leitch Tom Lister Jr. Thomas Gaitsch William Armstrong Adam Kalesperis Tristan Tait Bronson Webb David Ajala Gertrude Kyles Jonathan Ryland James Scales Nigel Carrington Ian Pirie Lateef Lovejoy Grahame Edwards Roger Monk Ronan Summers Wai Wong Michael Corey Foster Hannah Gunn Brandon Lambdin Jon Lee Brody Debbi Burns Maritza Cabrera Shirin Caiola Laura Chernicky Henry Milton Chu Kelli Clevenger Richard Divizio Tony Domino David Fultz Natalie Hallam Jordon Hodges Erron Jay Daniel Jefferson Nicky Katt Thomas Kosik Don Kress Tim Krueger Dan Latham Tom McComas James Mellor Joseph Oliveira Buster Reeves Peter Rnic Amit Shah Michelle Shields Sofiya Smirnova Bruce Spielbauer Robert Patrick Stern Robert Stone Richard Strobel Tom Townsend John Turk John Warman Erik A. Williams Chris Wilson Kevin Zaideman",Christopher Nolan
16,16,Blade Runner,Science Fiction Drama Thriller,78,1982,117.0,96.272374,Harrison Ford Rutger Hauer Sean Young Edward James Olmos M. Emmet Walsh Daryl Hannah William Sanderson Brion James Joe Turkel Joanna Cassidy James Hong Morgan Paull Kevin Thompson John Edward Allen Hy Pyke Kimiko Hiroshige Bob Okazaki Carolyn DeMirjian Ben Astar Judith Burnett Leo Gorcey Jr. Dawna Lee Heising Sharon Hesky Kelly Hine Tom Hutchinson Charles Knapp Rose Mascari Jirô Okazaki Steve Pope Robert Reiter Alexis Rhee,Ridley Scott
17,17,The Avengers,Science Fiction Action Adventure,24428,2012,143.0,89.887648,"Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson Jeremy Renner Tom Hiddleston Clark Gregg Cobie Smulders Stellan Skarsgård Samuel L. Jackson Gwyneth Paltrow Paul Bettany Jenny Agutter Walter Perez Powers Boothe Stan Lee Arthur Darbinyan Donald Li Ashley Johnson Harry Dean Stanton Alicia Sixtos Dieter Riesle Jamie McShane Jeff Wolfe Jerzy Skolimowski Maximiliano Hernández Alexis Denisof James Eckhouse Enver Gjokaj Damion Poitier Tina Benko Kirill Nikiforov ""Mlaah Kaur Singh"" Rashmi Rustagi Warren Kole Jesse Garcia Kenneth Tigar Josh Cowdery Katsumi Komatsu Yumiko Komatsu Momoko Komatsu Robert Clohessy Fernanda Toker Andrea Vecchio Robin Swoboda Brent McGee Michael Zhang William-Christopher Stephens Kelley Robins Romy Rosemont Pat Kiernan Thomas Roberts Jillian Morgese Catherine Anderson Ricardo Andres Logan Bennett Mayank Bhatter Sharita Bone Jason Botsford Mary Kate Campbell Gene N. Chavez Layla Cushman Robert Dean Rick Dremann Jeffrey Feingold Lou Ferrigno Rod Fielder Eric Frank Israel Hall Carmen Dee Harris Alexander Christopher Jones Mike Karban Demoine Kinney Andrew Knode Annette Lawless Kimberly J. Mahoney Todd Manes Jorge Mardel Tiffany Sander McKenzie Michael McMillan Sean Meehan Joti Nagra Holly Neelie Caleb Daniel Noal ""Joseph OBrien"" Jeremy Orr Nate Paige Martin Palmer Maria Perossa Caleb Pieplow Alexander Daniel Pimentel Frank Powers Jaime Powers Brent Reichert Kelly Ruble Gina Sarno Robert B. Schneider IV Jeff Seich Christina Shaffer Alonda Shevette Douglas Slygh Colin Strause Robert P. Thitoff George Thomas Shane Thompson Jerry Lee Tucker Tai Urban Chris Vaina Sandra Weston Seth Zielicke Alex DeCourville Debbie Scaletta Andrea-Nichole Olivas Tina Grimm",Joss Whedon
18,18,Captain Underpants: The First Epic Movie,Action Animation Comedy Family,268531,2017,89.0,88.561239,Kevin Hart Ed Helms Thomas Middleditch Nick Kroll Jordan Peele Kristen Schaal Dee Dee Rescher Brian Posehn Grey Griffin Fred Tatasciore Mel Rodriguez David Soren Susan Fitzker Lynnane Zager Tiffany Lauren Bennicke James Ryan Leslie David Baker Sugar Lyn Beard Lesley Nicol Chris Miller Coco Soren,David Soren
19,19,The Circle,Drama Thriller Science Fiction,339988,2017,110.0,88.439243,"Emma Watson Tom Hanks John Boyega Karen Gillan Ellar Coltrane Patton Oswalt Glenne Headly Bill Paxton Poorna Jagannathan Nate Corddry Mamoudou Athie Amir Talai Smith Cho Ellen Wong Judy Reyes Elvy Yost Roger Joseph Manning Jr. Joey Waronker Nick Valensi Michael Shuman Katie Costick Regina Saldivar Steven Klein Hunter Burke Eve Gordon Amie McCarthy Winn Lauren Baldwin Nicola Bertram Julian von Nagel Beck Nick Peine Michael Dean Russell Jr Jason Sheridan Drew Droege Jimmy Wong Sandeep Parikh Mele Ihara Andrew Hwang Lizzie Prestel Alana Aimaq Daniel William Jordan Melanie Steinmann Ken Narasaki Fred Koehler Jedediah Jenk ""Claudia ODoherty"" Ara Woland Brandon Van Vliet Alan Trujillo Derek Sulek Jasper Salon Parker Russell Samir Patel Afsheen Olyaie ""James OConnor"" Henry Nolin Rob Morris Dez Mabunga Shandel Love Abraham Lim Punnavith Koy Slim Khezri Stephen Michael Joseph Allyson Nicole Jones Jenine Giusto Lori Crow Reverend John Atom Natalie Stephany Aguilar Steven Adkins Shaylin Janelle Broady Matt Van Beck Jennifer Fernandez Paul Edney Kelli Barksdale Patrick Russo Troy Murray Johny Walsh Adam Aseem Tiwari",James Ponsoldt
20,20,The Bad Batch,Thriller Romance Science Fiction,316154,2017,119.0,78.8072,"Suki Waterhouse Jason Momoa Jayda Fink Keanu Reeves Jim Carrey Yolonda Ross Giovanni Ribisi Aye Hasegawa Louie Lopez Jr. E.R. Ruiz Cory Roberts Diego Luna Joni Podesta Almayvonne Danielle Orner Mandy Pursley Alina Aliluykina Ashleigh Biller Irene Guindal Nina Mansker ""Emily Roya OBrien"" DaLaura Patton Lana Walling Ndea Williams",Ana Lily Amirpour
21,21,The Maze Runner,Action Mystery Science Fiction Thriller,198663,2014,113.0,76.93789,"""Dylan OBrien"" Ki Hong Lee Kaya Scodelario Aml Ameen Blake Cooper Thomas Brodie-Sangster Will Poulter Dexter Darden Chris Sheffield Joe Adler Alexander Flores Jacob Latimore Randall D. Cunningham Patricia Clarkson Don McManus Michael Bow Jerry Clark Michael Deville Dylan Gaspard Mark Gibson Cory Gooding Cazi Greene Dustin Guitreau Tyler Harrison Landon Hazel Gary Hood Nick Killebrew John Langston Chad Martinez Lester Millet Sawyer Pierce Weston Rachal Bryce Romero Johnny Stockwell SanChavis Torns Lane Westerhaus Gentry Williams",Wes Ball
22,22,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,119450,2014,130.0,75.385211,"Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell Kodi Smit-McPhee Kirk Acevedo Judy Greer Terry Notary Karin Konoval Larramie Doc Shaw Nick Thurston Jocko Sims Enrique Murciano ""Keir ODonnell"" Lee Ross Lombardo Boyar Kevin Rankin Jon Eyez Richard King Lucky Johnson Al Vicente Matthew James Scott Lang Deneen Tyler Mustafa Harris Mike Seal J.D. Evermore Chase Boltin Michael Papajohn Thomas Rosales Jr. Carol Sutton Christopher Berry",Matt Reeves
23,23,Alien: Covenant,Horror Science Fiction Thriller,126889,2017,122.0,72.884078,Michael Fassbender Katherine Waterston Billy Crudup Danny McBride Demián Bichir Carmen Ejogo Jussie Smollett Callie Hernandez Amy Seimetz Nathaniel Dean Alexander England Benjamin Rigby Uli Latukefu Tess Haubrich Lorelei King Goran D. Kleut Andrew Crawford Guy Pearce James Franco Noomi Rapace Javier Botet Benjamin Taylor,Ridley Scott
24,24,Ghost in the Shell,Action Science Fiction Thriller,315837,2017,107.0,68.726676,Scarlett Johansson Michael Pitt Pilou Asbæk Chin Han Juliette Binoche Takeshi Kitano Peter Ferdinando Rila Fukushima Daniel Henshall Yutaka Izumihara Anamaria Marinca Kaori Momoi Lasarus Ratuere Kaori Yamamoto Andrew Morris Danusia Samal Michael Wincott Tawanda Manyimo Pete Teo Yuta Kazama Christopher Obi Adwoa Aboah Tricky Mana Hira Davis Kai Fung Rieck Andrew Stehlin Matthias Luafutu John Luafutu Tanya Drewery Jacqueline Lee Geurts Hannah Tasker-Poland Emma Coppersmith Shinji Ikefuji Xavier Horan Allan Henry Joseph Naufahu Makoto Murata,Rupert Sanders
25,25,Boyka: Undisputed IV,Thriller Action Crime,348893,2016,87.0,67.955052,Scott Adkins Teodora Duhovnikova Alon Aboutboul Julian Vergov Martyn Ford Brahim Achabbakhe Paul Chahidi Petio Petkov Valentin Ganev Vlado Mihailov Vladimir Kolev Hristo Petkov Boris Pankin Bashar Rahal Emilien De Falco Tim Man Andreas Nguyen Hristo Padev Yavor Baharov Plamen Velikov Slavi Slavov Ivan Kostadinov Atanas Madzharov Atanaska Popova Georgi Petkov Mihaela Semova Trayan Milenov-Troy Vencislav Stojanov Velizar Peev Tsvetolyub Iliev Ilian Emanviov Danko Jordanov Ivan Iliev Genko Ivanov Stefan Shopov Dimiter Doichinov Venelin Mishev Anina Youroukova,Todor Chapkanov
